,User,Source,Text,Date,Compound,Positive,Negative,Neutral,Tweets Ago
0,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Ex-teacher Peter Webb jailed for Horsham pupil sex assaults https://t.co/hLvA22IWuC,Fri Dec 15 19:42:18 +0000 2017,-0.7717,0.0,0.544,0.456,1
1,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Student Liam Allan 'betrayed' after rape trial collapse https://t.co/erHaOhiUBK,Fri Dec 15 19:02:38 +0000 2017,-0.836,0.0,0.47,0.53,2
2,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","4-year-old boy left on bus attempts three-mile journey home
https://t.co/q6tCG3pHwa",Fri Dec 15 18:53:58 +0000 2017,0.0,0.0,1.0,0.0,3
3,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCScotlandNews: We spent a night with the Glasgow street pastors, as some people were merry on their Christmas night out. https://t.co…",Fri Dec 15 18:48:32 +0000 2017,0.5423,0.149,0.851,0.0,4
4,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Walkden fire deaths family 'won't be broken' https://t.co/X37RljMsAR,Fri Dec 15 18:28:48 +0000 2017,0.0397,0.233,0.548,0.219,5
5,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCNewsbeat: The Simpsons predicted President Trump, Greece's economic crisis, the FIFA corruption scandal and Disney's takeover of Fox…",Fri Dec 15 17:57:09 +0000 2017,-0.7906,0.0,0.708,0.292,6
6,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBC_HaveYourSay: You know it's Christmas Jumper Day, right? Get festive, why not.
https://t.co/yU8s8OxVGB",Fri Dec 15 17:41:45 +0000 2017,0.4588,0.188,0.812,0.0,7
7,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Ceredigion Herald newspaper ends print run after two years https://t.co/YgGQoluSo4,Fri Dec 15 17:33:06 +0000 2017,0.0,0.0,1.0,0.0,8
8,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",🤗 https://t.co/0sGCtOMqs6,Fri Dec 15 17:16:21 +0000 2017,0.0,0.0,1.0,0.0,9
9,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Britvic confirms Norwich factory closure https://t.co/UXZAWzlyx1,Fri Dec 15 17:11:05 +0000 2017,0.0,0.0,1.0,0.0,10
10,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @bbclaurak: Back in SW1, amendment put down this afternoon that might kill off govt defeat on Brexit date next week - v likely govt will…",Fri Dec 15 16:47:40 +0000 2017,-0.8271,0.0,0.741,0.259,11
11,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCArchive: Shoddy Santas, grotty grottos and terrifying toys - here's a quick look through the BBC archive on what to avoid this Chris…",Fri Dec 15 15:49:45 +0000 2017,-0.7096,0.0,0.772,0.228,12
12,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",#RoyalWedding: Why Prince Harry and Meghan Markle's choice of wedding date marks a break with tradition… https://t.co/IMgplXsQIB,Fri Dec 15 15:37:02 +0000 2017,0.0,0.0,1.0,0.0,13
13,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @BBCPolitics: Treasury wants to regulate virtual currency Bitcoin https://t.co/GTkygxREiS,Fri Dec 15 15:28:56 +0000 2017,0.2023,0.167,0.833,0.0,14
14,@BBCNews,"<a href=""http://snappytv.com"" rel=""nofollow"">SnappyTV.com</a>","Talks about ""future relationship"" between UK and EU will begin ""straight away"", says Prime Minister Theresa May… https://t.co/kzKmmi3SRX",Fri Dec 15 15:25:38 +0000 2017,0.2263,0.101,0.899,0.0,15
15,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @richard_conway: FA statement on Royal wedding / Cup final date clash. https://t.co/jSiDXUSEoO,Fri Dec 15 15:01:27 +0000 2017,0.0,0.0,1.0,0.0,16
16,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Driver dies after school bus crash in Aberdeenshire https://t.co/gpmzNw2eTC,Fri Dec 15 14:26:25 +0000 2017,-0.4019,0.0,0.748,0.252,17
17,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Theresa May: moving to second phase of #Brexit talks is ""important step"" towards ""smooth and orderly"" exit from EU https://t.co/znsXkEr7FS",Fri Dec 15 14:26:14 +0000 2017,0.2023,0.087,0.913,0.0,18
18,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBC_HaveYourSay: Don't let me entertain you 
https://t.co/UZM6hsVn4r",Fri Dec 15 14:20:27 +0000 2017,-0.2411,0.0,0.781,0.219,19
19,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Corrie Mckeague: Reward to find missing airman doubles https://t.co/UCD60JaxN1,Fri Dec 15 14:19:50 +0000 2017,0.3612,0.287,0.543,0.171,20
20,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Schools told not to dismiss sexual harassment 'as banter' https://t.co/a6ybL1wULZ,Fri Dec 15 13:53:27 +0000 2017,-0.5423,0.0,0.72,0.28,21
21,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Hillsborough officer not charged over horse burn claims https://t.co/FLxBl7K7gB,Fri Dec 15 13:53:26 +0000 2017,0.1511,0.166,0.834,0.0,22
22,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @BBCBusiness: How easy is it to spot a narwhal in a sea of money? 🇨🇦 Find out with our A-Z guide to the creatures you spot in the financ…,Fri Dec 15 13:51:25 +0000 2017,0.4404,0.097,0.903,0.0,23
23,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @ChrisMasonBBC: Jean Claude Juncker, the President of the European Commission, describes the Prime Minister as a ""tough, smart, polite a…",Fri Dec 15 13:40:50 +0000 2017,0.4019,0.124,0.876,0.0,24
24,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBC_HaveYourSay: Are you getting married on 19 May 2018? What wedding tips would you give Prince Harry and Meghan Markle? 
https://t.co…",Fri Dec 15 13:39:41 +0000 2017,0.0,0.0,1.0,0.0,25
25,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Harry and Meghan to marry on 19 May 2018 https://t.co/5qL2QuOfmA,Fri Dec 15 13:09:15 +0000 2017,0.0,0.0,1.0,0.0,26
26,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCWorld: ""Quite significant progress made"" but next phase of EU-UK talks ""even tougher"" - German Chancellor Angela Merkel on #Brexit h…",Fri Dec 15 12:59:40 +0000 2017,0.5626,0.238,0.762,0.0,27
27,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCSport: Pint-sized #Ashes: Australia strike back on day two at the WACA 🏏

Here are the best moments from the @bbctms coverage 👉 http…",Fri Dec 15 12:36:07 +0000 2017,0.5719,0.157,0.787,0.056,28
28,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCSport: How do I vote? 🤔
When is the ceremony? 🤔
Who are the #SPOTY nominees? 🤔

Everything you need to know about BBC Sports Persona…",Fri Dec 15 12:02:39 +0000 2017,0.0,0.0,1.0,0.0,29
29,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Boy, four, who slept on school bus tried to walk home https://t.co/0PnPbkT2kL",Fri Dec 15 11:59:26 +0000 2017,0.0,0.0,1.0,0.0,30
30,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @bbclaurak: Phew  https://t.co/hgYq1GUEaX,Fri Dec 15 11:58:41 +0000 2017,0.0,0.0,1.0,0.0,31
31,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Backlash over 'stay with abuser' posts shared by Essex Police https://t.co/ZoSaP8ZnMz,Fri Dec 15 11:41:23 +0000 2017,-0.296,0.16,0.6,0.24,32
32,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Brexit talks 'can move to next stage' https://t.co/pndpSr7vt9,Fri Dec 15 11:38:01 +0000 2017,0.0,0.0,1.0,0.0,33
33,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @bbcweather: New #ice warnings issued by the Met Office. Details of where and when here: https://t.co/DucwfOVcwR Jo https://t.co/MZWdgHM…,Fri Dec 15 11:20:57 +0000 2017,-0.296,0.0,0.891,0.109,34
34,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @bbclaurak: No 10 says no plans to remove date from the Brexit bill next week to avert possible defeat (yet),Fri Dec 15 11:18:33 +0000 2017,-0.7964,0.0,0.651,0.349,35
35,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Salford fatal fire: Three in court charged with murder https://t.co/ooac6KPhnR,Fri Dec 15 11:17:10 +0000 2017,-0.9081,0.0,0.326,0.674,36
36,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBC_HaveYourSay: Loneliness is as bad for you as smoking 15 cigarettes a day, says a cross-party commission, and isn’t limited to Chris…",Fri Dec 15 11:16:52 +0000 2017,-0.802,0.0,0.687,0.313,37
37,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCSport: ""Sorry everyone for my emotional comments and insults.""

Sir Bradley Wiggins' wife has deleted her post and apologised for co…",Fri Dec 15 10:52:57 +0000 2017,0.1779,0.129,0.815,0.056,38
38,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Met Police to conduct urgent review after rape trial collapse https://t.co/mlsFNiPD0Y,Fri Dec 15 10:39:22 +0000 2017,-0.7964,0.102,0.452,0.446,39
39,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tulse Hill hit-and-run: Police release CCTV images https://t.co/nh5BV9wdbz,Fri Dec 15 10:28:50 +0000 2017,0.0,0.0,1.0,0.0,40
40,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Ever seen a lift that works like this? 🔃

https://t.co/aRh41AXYF1 https://t.co/4cdLdEqHcv",Fri Dec 15 09:44:50 +0000 2017,0.3612,0.238,0.762,0.0,41
41,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",BBC appoints Fran Unsworth as new head of news https://t.co/pvBVEEJYWK,Fri Dec 15 09:15:33 +0000 2017,0.0,0.0,1.0,0.0,42
42,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Booze calculator: What's your drinking nationality? https://t.co/amNdhk2LmX https://t.co/J3GpKFKaBp,Fri Dec 15 08:42:25 +0000 2017,0.0,0.0,1.0,0.0,43
43,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCEngland: No police were stationed inside V Festival's Chelmsford site this year because of a dispute over money, @VictoriaLIVE under…",Fri Dec 15 08:35:59 +0000 2017,-0.5994,0.0,0.776,0.224,44
